County1,Count,Population,,#VALUE!,,county,population,,,county2,acc2,pop2
Do�a Ana,27,#N/A,,#N/A,,Abbeville County,24541,138,,Abbeville,138,24541
La Porte,3,#N/A,,#N/A,,Acadia Parish,62190,43,,Acadia,43,62190
Macon-Bibb County,49,#N/A,,#N/A,,Accomack County,32412,20,,Accomack,20,32412
Obrien,1,#N/A,,#N/A,,Ada County,469966,90,,Ada,90,469966
Prince Georges,44,#N/A,,#N/A,,Adair County,73699,10,,Adair,10,73699
Queen Annes,4,#N/A,,#N/A,,Adams County,856729,2284,,Adams,2284,856729
Saint Charles,9,#N/A,,#N/A,,Addison County,36973,3,,Addison,3,36973
Saint Clair,6,#N/A,,#N/A,,Aiken County,169401,1297,,Aiken,1297,169401
Saint Johns,8,#N/A,,#N/A,,Aitkin County,15902,16,,Aitkin,16,15902
Saint Joseph,3,#N/A,,#N/A,,Alachua County,269956,609,,Alachua,609,269956
Saint Landry,1,#N/A,,#N/A,,Alamance County,166436,169,,Alamance,169,166436
Saint Louis,49,#N/A,,#N/A,,Alameda County,1666753,11065,,Alameda,11065,1666753
Saint Louis City,5,#N/A,,#N/A,,Alamosa County,16683,1,,Alamosa,1,16683
Saint Lucie,5,#N/A,,#N/A,,Albany County,345718,1805,,Albany,1805,345718
Saint Tammany,5,#N/A,,#N/A,,Albemarle County,108718,360,,Albemarle,360,108718
St Joseph,1,#N/A,,#N/A,,Alcona County,10362,360,,Alcorn,2,36925
Ste Genevieve,4,#N/A,,#N/A,,Alcorn County,36925,#N/A,,Alexander,10,43413
Lake,6194,1587,,390.30%,,Aleutians East Borough,3515,#N/A,,Alexandria,477,160530
King,10946,7042,,155.44%,,Aleutians West Census Area,5723,#N/A,,Alexandria City,5,160530
Lexington,4179,7136,,58.56%,,Alexander County,43413,#N/A,,Alger,1,9097
Bristol,492,877,,56.10%,,Alexandria city,160530,5,,Allamakee,2,13832
Franklin,4225,8013,,52.73%,,Alfalfa County,5754,#N/A,,Allegan,119,117327
Gilliam,101,1894,,5.33%,,Alger County,9097,#N/A,,Allegany,58,117405
Caddo,1440,28977,,4.97%,,Allamakee County,13832,#N/A,,Alleghany,55,26071
Petersburg,154,3221,,4.78%,,Allegan County,117327,#N/A,,Allegheny,2279,1218452
Suffolk,3925,91185,,4.30%,,Allegany County,117405,#N/A,,Allen,115,511580
Lafayette,3516,119470,,2.94%,,Alleghany County,26071,#N/A,,Allendale,32,8903
East Baton Rouge,12513,440956,,2.84%,,Allegheny County,1218452,#N/A,,Alpena,4,28360
Mecklenburg,27075,1124551,,2.41%,,Allen County,511580,#N/A,,Alpine,9,1101
Wake,22849,1092305,,2.09%,,Allen Parish,25605,#N/A,,Amador,155,39383
Colleton,772,37660,,2.05%,,Allendale County,8903,#N/A,,Amelia,38,13013
Richmond City,4220,228783,,1.84%,,Alpena County,28360,#N/A,,Amherst,33,31666
Davidson,15601,859201,,1.82%,,Alpine County,1101,#N/A,,Amite,4,12326
Spartanburg,5423,313888,,1.73%,,Amador County,39383,,,Anderson,3065,365562
Genesee,7879,464403,,1.70%,,Amelia County,13013,,,Andrew,3,17607
Orangeburg,1469,86934,,1.69%,,Amherst County,31666,,,Androscoggin,26,107679
